INSERT Address (Street, City, ZIP, Country) VALUES ('Red Clarendon 7','Peshastin',404919,'France');
INSERT Address (Street, City, ZIP, Country) VALUES ('Nobel 30','Hialeah Gardens',904159,'Canada');
INSERT Address (Street, City, ZIP, Country) VALUES ('Milton 74','Pettry',793009,'Namibia');
INSERT Address (Street, City, ZIP, Country) VALUES ('Blue New 12','Wabuska',443086,'Botswana');
INSERT Address (Street, City, ZIP, Country) VALUES ('Green First 64','Riverbank',132419,'Grenada');
INSERT Address (Street, City, ZIP, Country) VALUES ('West Fabien 95','Hialeah',360109,'Armenia');
INSERT Address (Street, City, ZIP, Country) VALUES ('Green New 71','Plainville',441947,'Gabon');
INSERT Address (Street, City, ZIP, Country) VALUES ('Oak 39','Hearne',515104,'Colombia');
INSERT Address (Street, City, ZIP, Country) VALUES ('West Fabien 58','Seville',480411,'East Timor');
INSERT Address (Street, City, ZIP, Country) VALUES ('South Second 83','Polebridge',514700,'Sweden');
INSERT Address (Street, City, ZIP, Country) VALUES ('St Green Hague 34','Ionia',166170,'St Lucia');
INSERT Address (Street, City, ZIP, Country) VALUES ('Green Nobel 56','Powellton',244898,'Maldives');
INSERT Address (Street, City, ZIP, Country) VALUES ('Clarendon 58','Hanaford',825571,'Vanuatu');
INSERT Address (Street, City, ZIP, Country) VALUES ('New 74','Versailles',893311,'Albania');
INSERT Address (Street, City, ZIP, Country) VALUES ('First 2','Lake Ozark',384225,'Jamaica');
INSERT Address (Street, City, ZIP, Country) VALUES ('North First 31','Cuzco',170958,'Montenegro');
INSERT Address (Street, City, ZIP, Country) VALUES ('New 92','Osceola Mills',511777,'Norway');
INSERT Address (Street, City, ZIP, Country) VALUES ('Milton 96','Toppenish',546151,'Swaziland');
INSERT Address (Street, City, ZIP, Country) VALUES ('North First 31','Santo Domingo',752456,'Moldova');
INSERT Address (Street, City, ZIP, Country) VALUES ('South New 63','Monongahela',949316,'Papua New Guinea');
INSERT Address (Street, City, ZIP, Country) VALUES ('North Red First 43','Sandpoint',659031,'Turkmenistan');
INSERT Address (Street, City, ZIP, Country) VALUES ('South Hague 31','Marion Hill',888867,'Chad');
INSERT Address (Street, City, ZIP, Country) VALUES ('West Second 42','American Canyon',514955,'Paraguay');
INSERT Address (Street, City, ZIP, Country) VALUES ('North Old 87','Algonac',212616,'Taiwan');
INSERT Address (Street, City, ZIP, Country) VALUES ('West Second 48','Harpers Ferry',904316,'Tuvalu');
INSERT Address (Street, City, ZIP, Country) VALUES ('First 10','Zion',942175,'Indonesia');
INSERT Address (Street, City, ZIP, Country) VALUES ('New 77','Palisades Park',758603,'Luxembourg');
INSERT Address (Street, City, ZIP, Country) VALUES ('Old 12','Haslet',350182,'Cyprus');
INSERT Address (Street, City, ZIP, Country) VALUES ('Blue Second 88','East Cleveland',391496,'Sierra Leone');
INSERT Address (Street, City, ZIP, Country) VALUES ('Nobel 73','Baraboo',583578,'Micronesia');
INSERT Address (Street, City, ZIP, Country) VALUES ('White Nobel 68','West Chester',790055,'Marshall Islands');
INSERT Address (Street, City, ZIP, Country) VALUES ('Fabien 19','Braggs',225878,'Paraguay');
INSERT Address (Street, City, ZIP, Country) VALUES ('First 87','Columbia',569377,'Liberia');
INSERT Address (Street, City, ZIP, Country) VALUES ('Red Fabien 51','Petrey',179303,'Barbados');
INSERT Address (Street, City, ZIP, Country) VALUES ('Hague 20','Junior',466446,'Micronesia');
INSERT Address (Street, City, ZIP, Country) VALUES ('Cowley 17','Avonia',909099,'Australia');
INSERT Address (Street, City, ZIP, Country) VALUES ('Second 35','Sparlingville',348673,'Morocco');
INSERT Address (Street, City, ZIP, Country) VALUES ('Nobel 40','Lytle',966300,'Saint Vincent & the Grenadines');
INSERT Address (Street, City, ZIP, Country) VALUES ('Fabien 66','Burden',926920,'Mauritius');
INSERT Address (Street, City, ZIP, Country) VALUES ('New 12','New Stanton',534180,'Marshall Islands');
INSERT Address (Street, City, ZIP, Country) VALUES ('First 98','Camanche',544335,'Germany');
INSERT Address (Street, City, ZIP, Country) VALUES ('North Milton 66','Dowling Park',700477,'South Africa');
INSERT Address (Street, City, ZIP, Country) VALUES ('North White Oak 41','East Keansburg',158305,'Belarus');
INSERT Address (Street, City, ZIP, Country) VALUES ('Blue First 23','Huey',786902,'Bosnia Herzegovina');
INSERT Address (Street, City, ZIP, Country) VALUES ('Blue First 98','Mount Blanchard',501959,'Uganda');
INSERT Address (Street, City, ZIP, Country) VALUES ('Oak 93','Resota Beach',123426,'Hungary');
INSERT Address (Street, City, ZIP, Country) VALUES ('West Clarendon 16','Marshall Creek',369698,'Iceland');
INSERT Address (Street, City, ZIP, Country) VALUES ('Red Fabien 44','Pilot Rock',151985,'Nigeria');
INSERT Address (Street, City, ZIP, Country) VALUES ('Clarendon 60','Shiocton',327233,'Russian Federation');
INSERT Address (Street, City, ZIP, Country) VALUES ('St Hague 27','Dolomite',847269,'New Zealand');
INSERT Address (Street, City, ZIP, Country) VALUES ('North Green Oak 43','Lewistown',742118,'Korea North');
INSERT Address (Street, City, ZIP, Country) VALUES ('Clarendon 32','Commercial Point',345780,'Guyana');
INSERT Address (Street, City, ZIP, Country) VALUES ('Fabien 62','Wakulla',978726,'Zimbabwe');
INSERT Address (Street, City, ZIP, Country) VALUES ('Cowley 60','Quinn',641713,'Namibia');
INSERT Address (Street, City, ZIP, Country) VALUES ('Oak 43','Remer',366760,'Tonga');
INSERT Address (Street, City, ZIP, Country) VALUES ('Oak 61','Pine Apple',511578,'Tunisia');
INSERT Address (Street, City, ZIP, Country) VALUES ('South Hague 39','Benge',526691,'Uzbekistan');
INSERT Address (Street, City, ZIP, Country) VALUES ('First 23','Ellisport',281376,'South Sudan');
INSERT Address (Street, City, ZIP, Country) VALUES ('Red Fabien 83','New Egypt',466102,'Belize');
INSERT Address (Street, City, ZIP, Country) VALUES ('Fabien 85','Searles Valley',100361,'Turkmenistan');
INSERT Address (Street, City, ZIP, Country) VALUES ('North Oak 45','Crescent Springs',830224,'Egypt');
INSERT Address (Street, City, ZIP, Country) VALUES ('Red Hague 32','Fort Washakie',189149,'Bolivia');
INSERT Address (Street, City, ZIP, Country) VALUES ('Green Hague 20','Cleo Springs',255640,'Eritrea');
INSERT Address (Street, City, ZIP, Country) VALUES ('Old 31','Warrenton',762154,'Micronesia');
INSERT Address (Street, City, ZIP, Country) VALUES ('Old 97','West Shiloh',535977,'Rwanda');
INSERT Address (Street, City, ZIP, Country) VALUES ('White Oak 56','Iberville',551246,'Ireland');
INSERT Address (Street, City, ZIP, Country) VALUES ('Cowley 46','Two Rivers',141664,'Angola');
INSERT Address (Street, City, ZIP, Country) VALUES ('West Fabien 10','Livona',982731,'Burkina');
INSERT Address (Street, City, ZIP, Country) VALUES ('Second 71','Pigeon Falls',850607,'Tunisia');
INSERT Address (Street, City, ZIP, Country) VALUES ('Blue Clarendon 50','Mays Landing',606758,'Antigua & Deps');
INSERT Address (Street, City, ZIP, Country) VALUES ('North First 91','Holder',818908,'Mauritius');
INSERT Address (Street, City, ZIP, Country) VALUES ('Red Second 17','Finneytown',470735,'Tajikistan');
INSERT Address (Street, City, ZIP, Country) VALUES ('Green Old 67','Minneota',125239,'Honduras');
INSERT Address (Street, City, ZIP, Country) VALUES ('Oak 97','Vilas',367901,'Finland');
INSERT Address (Street, City, ZIP, Country) VALUES ('Blue Milton 61','Cochiti',146737,'Congo');
INSERT Address (Street, City, ZIP, Country) VALUES ('Nobel 1','Mechanicsburg',126911,'Peru');
INSERT Address (Street, City, ZIP, Country) VALUES ('White Milton 24','Reliance',525606,'New Zealand');
INSERT Address (Street, City, ZIP, Country) VALUES ('South Blue New 89','Mausdale',183199,'Guinea');
INSERT Address (Street, City, ZIP, Country) VALUES ('Red Nobel 41','Notrees',461543,'Brazil');
INSERT Address (Street, City, ZIP, Country) VALUES ('Oak 45','Collings Lakes',731409,'Israel');
INSERT Address (Street, City, ZIP, Country) VALUES ('South Oak 91','Library',954524,'Kyrgyzstan');
INSERT Address (Street, City, ZIP, Country) VALUES ('Second 46','Palisades Park',476265,'Denmark');
INSERT Address (Street, City, ZIP, Country) VALUES ('Oak 71','North Palm Beach',626701,'Mauritius');
INSERT Address (Street, City, ZIP, Country) VALUES ('Red Second 70','Kief',974346,'Romania');
INSERT Address (Street, City, ZIP, Country) VALUES ('West Second 47','Colerain',988289,'Venezuela');
INSERT Address (Street, City, ZIP, Country) VALUES ('Clarendon 17','Oskaloosa',874943,'Estonia');
INSERT Address (Street, City, ZIP, Country) VALUES ('Milton 36','Island Mountain',553709,'Swaziland');
INSERT Address (Street, City, ZIP, Country) VALUES ('South Second 10','Manasota Key',226829,'Samoa');
INSERT Address (Street, City, ZIP, Country) VALUES ('St White Fabien 78','Percle',156453,'Georgia');
INSERT Address (Street, City, ZIP, Country) VALUES ('First 73','Duvall',858288,'Gambia');
INSERT Address (Street, City, ZIP, Country) VALUES ('West White Oak 69','Cottleville',467272,'Tajikistan');
INSERT Address (Street, City, ZIP, Country) VALUES ('First 13','Tallaboa Alta',492111,'Peru');
INSERT Address (Street, City, ZIP, Country) VALUES ('Oak 42','Cerulean Springs',247090,'Australia');
INSERT Address (Street, City, ZIP, Country) VALUES ('St Old 65','Bosworth',469359,'Algeria');
INSERT Address (Street, City, ZIP, Country) VALUES ('White Oak 68','Huntland',885107,'Iran');
INSERT Address (Street, City, ZIP, Country) VALUES ('Nobel 42','Waterford',919204,'Bangladesh');
INSERT Address (Street, City, ZIP, Country) VALUES ('South First 15','Broncho',777652,'Argentina');
INSERT Address (Street, City, ZIP, Country) VALUES ('Blue Fabien 32','Novice',210136,'Tajikistan');
INSERT Address (Street, City, ZIP, Country) VALUES ('St Green Nobel 89','Champ',235525,'Paraguay');
INSERT Address (Street, City, ZIP, Country) VALUES ('White Hague 61','Osceola Mills',488575,'Central African Rep');
INSERT Address (Street, City, ZIP, Country) VALUES ('Nobel 44','Monongah',872399,'South Africa');
INSERT Address (Street, City, ZIP, Country) VALUES ('Green New 55','Armor',239964,'United Arab Emirates');
INSERT Address (Street, City, ZIP, Country) VALUES ('St Green New 4','Staunton',925782,'Bhutan');
INSERT Address (Street, City, ZIP, Country) VALUES ('Nobel 57','Chamberino',491975,'Croatia');
INSERT Address (Street, City, ZIP, Country) VALUES ('Second 20','Slade',218070,'Suriname');
INSERT Address (Street, City, ZIP, Country) VALUES ('North Blue Clarendon 78','Mound Station',620676,'Romania');
INSERT Address (Street, City, ZIP, Country) VALUES ('White Clarendon 82','Edwardsport',639441,'Montenegro');
INSERT Address (Street, City, ZIP, Country) VALUES ('South Red Old 12','Haugen',440158,'Liberia');
INSERT Address (Street, City, ZIP, Country) VALUES ('West Hague 7','Growler',725141,'Suriname');
INSERT Address (Street, City, ZIP, Country) VALUES ('New 45','Shark River Hills',406959,'Belize');
INSERT Address (Street, City, ZIP, Country) VALUES ('South Oak 24','Sale City',605222,'Poland');
INSERT Address (Street, City, ZIP, Country) VALUES ('Old 55','Darnell',898984,'Angola');
INSERT Address (Street, City, ZIP, Country) VALUES ('Old 90','Hewlett Neck',392490,'Monaco');
INSERT Address (Street, City, ZIP, Country) VALUES ('St First 77','Elk Mills',234879,'Hungary');
INSERT Address (Street, City, ZIP, Country) VALUES ('White Fabien 36','Lenoir City',671027,'Sierra Leone');
INSERT Address (Street, City, ZIP, Country) VALUES ('North Blue First 97','Jordan Valley',137583,'Grenada');
INSERT Address (Street, City, ZIP, Country) VALUES ('Cowley 65','Perrysville',917449,'Cyprus');
INSERT Address (Street, City, ZIP, Country) VALUES ('Blue Fabien 30','Carmel-by-the-Sea',943508,'Grenada');
INSERT Address (Street, City, ZIP, Country) VALUES ('White Second 81','Cottonwood Heights',606523,'Ecuador');
INSERT Address (Street, City, ZIP, Country) VALUES ('West Green Clarendon 71','Port Clinton',494606,'Belgium');
INSERT Address (Street, City, ZIP, Country) VALUES ('New 21','Wakpala',140343,'Niger');
INSERT Address (Street, City, ZIP, Country) VALUES ('First 46','Hendricks',514291,'San Marino');
INSERT Address (Street, City, ZIP, Country) VALUES ('St Old 33','Hatboro',627745,'Czech Republic');
INSERT Address (Street, City, ZIP, Country) VALUES ('White First 21','Minden',231277,'Belarus');
INSERT Address (Street, City, ZIP, Country) VALUES ('Milton 74','Letohatchee',813263,'Azerbaijan');
INSERT Address (Street, City, ZIP, Country) VALUES ('Oak 36','Coe',902965,'Vietnam');
INSERT Address (Street, City, ZIP, Country) VALUES ('Old 39','Shelton',394708,'Romania');
INSERT Address (Street, City, ZIP, Country) VALUES ('South Clarendon 62','Uncasville',369757,'Central African Rep');
INSERT Address (Street, City, ZIP, Country) VALUES ('Fabien 85','Masonville',794033,'Korea North');
INSERT Address (Street, City, ZIP, Country) VALUES ('White New 59','Bayside',325211,'South Africa');
INSERT Address (Street, City, ZIP, Country) VALUES ('South First 75','Mertens',884517,'Dominica');
INSERT Address (Street, City, ZIP, Country) VALUES ('Blue First 98','Calliham',449325,'Taiwan');
INSERT Address (Street, City, ZIP, Country) VALUES ('White Milton 70','Heuvelton',493190,'Netherlands');
INSERT Address (Street, City, ZIP, Country) VALUES ('West Cowley 93','Tariffville',105560,'Afghanistan');
INSERT Address (Street, City, ZIP, Country) VALUES ('South Cowley 30','Waipahu',956634,'Chile');
INSERT Address (Street, City, ZIP, Country) VALUES ('West New 67','Tompkinsville',127763,'Guinea');
INSERT Address (Street, City, ZIP, Country) VALUES ('White Old 13','Pukwana',723173,'Kyrgyzstan');
INSERT Address (Street, City, ZIP, Country) VALUES ('Fabien 99','Mimosa Park',291934,'Antigua & Deps');
INSERT Address (Street, City, ZIP, Country) VALUES ('South New 10','Turnersville',390403,'Sierra Leone');
INSERT Address (Street, City, ZIP, Country) VALUES ('First 53','Ardmore',347411,'Jamaica');
INSERT Address (Street, City, ZIP, Country) VALUES ('Nobel 35','Cadiz',655544,'Colombia');
INSERT Address (Street, City, ZIP, Country) VALUES ('White Nobel 10','Rossville',334847,'Egypt');
INSERT Address (Street, City, ZIP, Country) VALUES ('White Clarendon 41','Apache',888902,'Colombia');
INSERT Address (Street, City, ZIP, Country) VALUES ('Second 90','Kurtistown',529176,'Liberia');
INSERT Address (Street, City, ZIP, Country) VALUES ('Nobel 17','Early',809016,'Djibouti');
INSERT Address (Street, City, ZIP, Country) VALUES ('Hague 25','Stephan',619497,'Cuba');
INSERT Address (Street, City, ZIP, Country) VALUES ('North Oak 21','Big Arm',618407,'Paraguay');
INSERT Address (Street, City, ZIP, Country) VALUES ('Milton 91','Cottage City',916866,'Jordan');
INSERT Address (Street, City, ZIP, Country) VALUES ('White Clarendon 29','Newton Grove',534003,'East Timor');
INSERT Address (Street, City, ZIP, Country) VALUES ('First 8','Kettleman City',901381,'Albania');
INSERT Address (Street, City, ZIP, Country) VALUES ('Milton 93','Hyannis',154276,'Spain');
INSERT Address (Street, City, ZIP, Country) VALUES ('South Green First 95','Cullomburg',927320,'Nauru');
INSERT Address (Street, City, ZIP, Country) VALUES ('White Fabien 70','Mosby',451785,'Sri Lanka');
INSERT Address (Street, City, ZIP, Country) VALUES ('New 41','Austinburg',899340,'Indonesia');
INSERT Address (Street, City, ZIP, Country) VALUES ('Oak 42','Leon Junction',925403,'Nigeria');
INSERT Address (Street, City, ZIP, Country) VALUES ('St Clarendon 36','Northwood',339071,'Fiji');
INSERT Address (Street, City, ZIP, Country) VALUES ('Red Oak 93','Yellow Lake',414174,'San Marino');
INSERT Address (Street, City, ZIP, Country) VALUES ('New 87','Fort Mitchell',652864,'Botswana');
INSERT Address (Street, City, ZIP, Country) VALUES ('White Oak 76','Dewy Rose',595760,'Uganda');
INSERT Address (Street, City, ZIP, Country) VALUES ('Clarendon 3','Sweet Valley',635618,'Belarus');
INSERT Address (Street, City, ZIP, Country) VALUES ('West Green Oak 92','Valley Center',219178,'Tajikistan');
INSERT Address (Street, City, ZIP, Country) VALUES ('Milton 52','Temple Terrace',463460,'Sweden');
INSERT Address (Street, City, ZIP, Country) VALUES ('First 96','Lancaster Mill',165940,'Iceland');
INSERT Address (Street, City, ZIP, Country) VALUES ('Red Second 42','Laurel Run',844929,'Gabon');
INSERT Address (Street, City, ZIP, Country) VALUES ('North Nobel 11','Sorento',287962,'San Marino');
INSERT Address (Street, City, ZIP, Country) VALUES ('St Milton 20','Colon',922093,'Namibia');
INSERT Address (Street, City, ZIP, Country) VALUES ('New 62','Goshenville',766393,'Palau');
INSERT Address (Street, City, ZIP, Country) VALUES ('St Green Oak 30','Garibaldi',910339,'India');
INSERT Address (Street, City, ZIP, Country) VALUES ('Fabien 87','Reidsville',102853,'Gabon');
INSERT Address (Street, City, ZIP, Country) VALUES ('St Old 76','Dahlonega',634583,'Grenada');
INSERT Address (Street, City, ZIP, Country) VALUES ('White Milton 30','Woodberry',793306,'Switzerland');
INSERT Address (Street, City, ZIP, Country) VALUES ('Milton 54','Virden',493471,'United Arab Emirates');
INSERT Address (Street, City, ZIP, Country) VALUES ('West Old 74','Inola',959973,'Korea North');
INSERT Address (Street, City, ZIP, Country) VALUES ('Hague 72','Bingham Farms',625025,'Finland');
INSERT Address (Street, City, ZIP, Country) VALUES ('Green New 16','Rock Port',437038,'India');
INSERT Address (Street, City, ZIP, Country) VALUES ('South New 95','Hamtramck',272598,'Kosovo');
INSERT Address (Street, City, ZIP, Country) VALUES ('St Green Hague 14','Centerville',513298,'San Marino');
INSERT Address (Street, City, ZIP, Country) VALUES ('Old 43','Sac City',262340,'Congo');
INSERT Address (Street, City, ZIP, Country) VALUES ('Old 82','Painesville',531522,'Korea South');
INSERT Address (Street, City, ZIP, Country) VALUES ('West Fabien 16','East Millstone',222885,'Mauritius');
INSERT Address (Street, City, ZIP, Country) VALUES ('New 64','Horicon',555873,'Swaziland');
INSERT Address (Street, City, ZIP, Country) VALUES ('Green Nobel 8','Kilgore',197819,'Austria');
INSERT Address (Street, City, ZIP, Country) VALUES ('First 81','Royal Lakes',804238,'East Timor');
INSERT Address (Street, City, ZIP, Country) VALUES ('Second 69','Osawatomie',995507,'Kuwait');
INSERT Address (Street, City, ZIP, Country) VALUES ('Green Old 50','Quamba',902159,'Russian Federation');
INSERT Address (Street, City, ZIP, Country) VALUES ('Green First 39','Zim',564933,'Thailand');
INSERT Address (Street, City, ZIP, Country) VALUES ('Blue Second 43','Center',369775,'Maldives');
INSERT Address (Street, City, ZIP, Country) VALUES ('Green Milton 93','Shipshewana',898947,'El Salvador');
INSERT Address (Street, City, ZIP, Country) VALUES ('Milton 16','Pitcairn',853194,'Estonia');
INSERT Address (Street, City, ZIP, Country) VALUES ('North Blue Hague 37','Hickok',198329,'Greece');
INSERT Address (Street, City, ZIP, Country) VALUES ('Cowley 27','Fall River Mills',711397,'Greece');
INSERT Address (Street, City, ZIP, Country) VALUES ('South Old 6','Clara City',762942,'Uganda');
INSERT Address (Street, City, ZIP, Country) VALUES ('White Nobel 42','DeKalb',718409,'Ethiopia');
INSERT Address (Street, City, ZIP, Country) VALUES ('Second 6','Guernsey',456442,'East Timor');
INSERT Address (Street, City, ZIP, Country) VALUES ('Blue Milton 92','Turton',268183,'Vanuatu');
INSERT Address (Street, City, ZIP, Country) VALUES ('Hague 70','Montpelier',492049,'Mauritania');
INSERT Address (Street, City, ZIP, Country) VALUES ('Cowley 79','Evans City',568213,'Brunei');
INSERT Address (Street, City, ZIP, Country) VALUES ('New 54','Story',984017,'Liechtenstein');
INSERT Address (Street, City, ZIP, Country) VALUES ('Cowley 14','West Dundee',429489,'Djibouti');
INSERT Address (Street, City, ZIP, Country) VALUES ('West First 49','Atkins',633974,'Thailand');
INSERT Address (Street, City, ZIP, Country) VALUES ('Old 82','Ukiah',724936,'Kazakhstan');
INSERT Address (Street, City, ZIP, Country) VALUES ('St White Old 93','Stella',299931,'Cyprus');
INSERT Address (Street, City, ZIP, Country) VALUES ('St Hague 27','Dixfield',300720,'Ireland');
INSERT Address (Street, City, ZIP, Country) VALUES ('St Green Hague 78','Wampum',339760,'Bahamas');
INSERT Address (Street, City, ZIP, Country) VALUES ('Oak 36','Becton',462035,'Andorra');
INSERT Address (Street, City, ZIP, Country) VALUES ('Milton 35','Papeton',876237,'Belize');
INSERT Address (Street, City, ZIP, Country) VALUES ('North Blue Oak 46','Tobaccoville',135813,'Tajikistan');
INSERT Address (Street, City, ZIP, Country) VALUES ('North Green Hague 33','Bellair',875286,'Finland');
INSERT Address (Street, City, ZIP, Country) VALUES ('White Old 14','Salkum',622781,'Thailand');
INSERT Address (Street, City, ZIP, Country) VALUES ('Red First 75','Norton',236180,'Estonia');
INSERT Address (Street, City, ZIP, Country) VALUES ('Hague 9','Nodaway',447311,'Botswana');
INSERT Address (Street, City, ZIP, Country) VALUES ('Hague 30','Green Grove',329652,'Algeria');
INSERT Address (Street, City, ZIP, Country) VALUES ('Hague 94','Proctor',128217,'East Timor');
INSERT Address (Street, City, ZIP, Country) VALUES ('New 6','Slick',474358,'Chad');
INSERT Address (Street, City, ZIP, Country) VALUES ('North Oak 55','Trout',794250,'Georgia');
INSERT Address (Street, City, ZIP, Country) VALUES ('St Old 68','Peyton',457280,'Myanmar');
INSERT Address (Street, City, ZIP, Country) VALUES ('South Hague 78','Kesley',427106,'New Zealand');
INSERT Address (Street, City, ZIP, Country) VALUES ('Cowley 17','Neenah',625590,'San Marino');
INSERT Address (Street, City, ZIP, Country) VALUES ('Clarendon 74','Waldorf',345746,'Ecuador');
INSERT Address (Street, City, ZIP, Country) VALUES ('North First 72','Bedford',186619,'India');
INSERT Address (Street, City, ZIP, Country) VALUES ('Clarendon 43','Cave-in-Rock',562364,'Angola');
INSERT Address (Street, City, ZIP, Country) VALUES ('South Green Milton 71','Poquonock Bridge',655705,'Cape Verde');
INSERT Address (Street, City, ZIP, Country) VALUES ('Milton 53','Mumford',856953,'Iran');
INSERT Address (Street, City, ZIP, Country) VALUES ('Green Cowley 74','Cokato',450662,'Trinidad & Tobago');
INSERT Address (Street, City, ZIP, Country) VALUES ('South Second 58','Shady Side',942484,'San Marino');
INSERT Address (Street, City, ZIP, Country) VALUES ('Green Cowley 36','Bosque',934948,'Turkey');
INSERT Address (Street, City, ZIP, Country) VALUES ('West Nobel 84','North Powder',744740,'Comoros');
INSERT Address (Street, City, ZIP, Country) VALUES ('Second 21','Galien',851543,'Korea North');
INSERT Address (Street, City, ZIP, Country) VALUES ('South Red New 11','Disautel',747794,'Angola');
INSERT Address (Street, City, ZIP, Country) VALUES ('First 13','Gadsden',398194,'South Sudan');
INSERT Address (Street, City, ZIP, Country) VALUES ('St Second 93','Utuado',270504,'Ukraine');
INSERT Address (Street, City, ZIP, Country) VALUES ('West Hague 98','Dunkinsville',411733,'Chile');
INSERT Address (Street, City, ZIP, Country) VALUES ('West Nobel 41','Ericson',918483,'Tanzania');
INSERT Address (Street, City, ZIP, Country) VALUES ('West White Clarendon 77','Loganton',240883,'Saudi Arabia');
INSERT Address (Street, City, ZIP, Country) VALUES ('Oak 42','Katemcy',224198,'Cyprus');
INSERT Address (Street, City, ZIP, Country) VALUES ('Red Hague 7','Englishtown',220178,'Romania');
INSERT Address (Street, City, ZIP, Country) VALUES ('Old 75','Hapeville',306411,'Singapore');
INSERT Address (Street, City, ZIP, Country) VALUES ('Fabien 12','Monmouth Beach',692963,'Zambia');
INSERT Address (Street, City, ZIP, Country) VALUES ('St Nobel 67','Niagara',900753,'Trinidad & Tobago');
